# mjd counts counts_error
5.893359973144531250e+04 -9.757144215113665808e+00 2.394367698246402654e+01
5.893362054443359375e+04 -6.492137550874108598e+00 1.872903562170564840e+01
5.893364141845703125e+04 -7.396478573847151239e+00 3.069482530171478274e+01
5.893366223144531250e+04 -1.036901507894373609e+01 1.429317744426860415e+01
5.893368304443359375e+04 -1.417262890912867235e+01 2.804633248227711917e+01
5.893370391845703125e+04 -1.089455239401417153e+01 2.545512619206120775e+01
5.893372473144531250e+04 -1.389022467588560517e+01 2.690658325751156354e+01
5.893374554443359375e+04 -1.106037025538257623e+01 2.757781063978751845e+01
5.893376641845703125e+04 -1.157287876285715633e+01 2.135862359835229540e+01
5.893378723144531250e+04 -1.397333726079157934e+01 3.149548019522341491e+01
5.893380804443359375e+04 -1.690753148177578780e+01 3.006774100513562686e+01
5.893382891845703125e+04 -1.822364492788343782e+01 2.494495356920467444e+01
5.893384973144531250e+04 -1.357923567847732471e+01 2.353796848242067341e+01
5.893387054443359375e+04 -1.351151796673955907e+01 1.739237797675369279e+01
5.893389141845703125e+04 -1.791538498007489011e+01 3.436958344216399297e+01
5.893391223144531250e+04 -8.792131866695644504e+00 1.632598308749316374e+01
5.893393304443359375e+04 -1.313170736284754092e+01 2.321918332578468025e+01
5.893395391845703125e+04 -1.502364013280030264e+01 2.729341260519191437e+01
5.893397473144531250e+04 -1.081398947880251704e+01 2.921932418178312219e+01
5.893399554443359375e+04 -1.123524110154930256e+01 2.686656148976509684e+01
5.893401641845703125e+04 -1.188389896299123549e+01 2.459672272073843757e+01
5.893403723144531250e+04 -1.550200751327972526e+01 2.386721762598848429e+01
5.893405804443359375e+04 -1.400762625806290274e+01 1.667721979019120937e+01
5.893407891845703125e+04 -1.710233253278441268e+01 3.147035045748271642e+01
5.893409973144531250e+04 -1.580388684445752645e+01 3.140217687301533189e+01
5.893412054443359375e+04 -1.629645262926590377e+01 2.258935895318213838e+01
5.893414141845703125e+04 -1.864704974734629417e+01 2.250124144842349239e+01
5.893416223144531250e+04 -1.065607366853906868e+01 2.210445119497375899e+01
5.893418304443359375e+04 -9.594155024734380532e+00 2.504261593186525303e+01
5.893420391845703125e+04 -1.561004542293037645e+01 2.564253243365860868e+01
5.893422473144531250e+04 -1.290340438384653865e+01 2.346571340348874912e+01
5.893424554443359375e+04 -1.497301193342904213e+01 1.760180489566730699e+01
5.893426641845703125e+04 -1.750562661120988750e+01 2.725927347473886186e+01
5.893428723144531250e+04 -1.314833466054015076e+01 2.097184010599990245e+01
5.893430804443359375e+04 -1.724379837566241136e+01 3.681126745002495682e+01
5.893432891845703125e+04 -1.258260365413537940e+01 2.829361930058160368e+01
5.893434973144531250e+04 -1.465147100643538636e+01 3.694495588341074210e+01
5.893437054443359375e+04 -8.359854599304718192e+00 2.510428393596534136e+01
5.893439141845703125e+04 -1.416130425279285276e+01 1.873177245076085029e+01
5.893441223144531250e+04 -1.725743049780389882e+01 2.626683657243307124e+01
