time,magnitude,e_magnitude,zp,e_zp,band,instrument,upperlimit,z
58946.68292236328,15.483375999247283,0.12396848301287623,-48.6,0.02,tess,=-tess,False,0.00744
58946.70379638672,15.507986092289256,0.13074908219619216,-48.6,0.02,tess,=-tess,False,0.00744
58946.724609375,15.427439420699322,0.11720614239145964,-48.6,0.02,tess,=-tess,False,0.00744
58946.74542236328,15.428316378629436,0.12413394573472844,-48.6,0.02,tess,=-tess,False,0.00744
58946.76629638672,15.413830739230953,0.1252192491147487,-48.6,0.02,tess,=-tess,False,0.00744
58946.787109375,15.461638029311327,0.20091512200533507,-48.6,0.02,tess,=-tess,False,0.00744
58946.80792236328,15.425292810662187,0.13239098868979626,-48.6,0.02,tess,=-tess,False,0.00744
58946.82879638672,15.483133615535241,0.15023461282102185,-48.6,0.02,tess,=-tess,False,0.00744
58946.849609375,15.463510507093387,0.1139917504978849,-48.6,0.02,tess,=-tess,False,0.00744
58946.87042236328,15.479281495288651,0.13500337398125534,-48.6,0.02,tess,=-tess,False,0.00744
58946.89129638672,15.430393207612958,0.11465095092128688,-48.6,0.02,tess,=-tess,False,0.00744
58946.912109375,15.493748437256574,0.13458832137759688,-48.6,0.02,tess,=-tess,False,0.00744
58946.93292236328,15.426373926205645,0.1086019093333169,-48.6,0.02,tess,=-tess,False,0.00744
58946.95379638672,15.46296779658118,0.12621660044687005,-48.6,0.02,tess,=-tess,False,0.00744
58946.974609375,15.451020671503887,0.11956701438427289,-48.6,0.02,tess,=-tess,False,0.00744
58946.99542236328,15.399518034709686,0.1086482564825394,-48.6,0.02,tess,=-tess,False,0.00744
58947.01629638672,15.44980937671057,0.11698274648830133,-48.6,0.02,tess,=-tess,False,0.00744
58947.037109375,15.447736414183094,0.11771690881416741,-48.6,0.02,tess,=-tess,False,0.00744
58947.05792236328,15.424031775602728,0.12603791637926795,-48.6,0.02,tess,=-tess,False,0.00744
58947.07879638672,15.431633149501364,0.1188970376767206,-48.6,0.02,tess,=-tess,False,0.00744
58947.099609375,15.487138949818592,0.13461834208201717,-48.6,0.02,tess,=-tess,False,0.00744
58947.12042236328,15.427614920285006,0.12135849418389523,-48.6,0.02,tess,=-tess,False,0.00744
